"CAMPAÑA"|"ID_FINCA"|"ID_ZONA"|"ID_ESTACION"|"ALTITUD"|"VARIEDAD"|"MODO"|"TIPO"|"COLOR"|"SUPERFICIE"|"PRODUCCION"
14|76953|515|4|"660"|"026"|2|"0"|1|0|22215
14|84318|515|4|"660"|"026"|2|"0"|1|0|22215
14|85579|340|4|"520"|"032"|2|"0"|1|0|20978
14|69671|340|4|"520"|"032"|2|"0"|1|0|40722
14|14001|852|14|"NA"|"081"|1|"0"|1|0|14126
14|17059|852|14|"NA"|"081"|1|"0"|1|0|6054
14|87611|602|14|"NA"|"081"|1|"0"|1|0|12900
14|12257|215|14|"NA"|"017"|1|"0"|1|0|5450
14|97286|142|14|"NA"|"017"|1|"0"|1|0|30720
14|43323|142|14|"NA"|"059"|1|"0"|1|0|34880
14|43323|142|14|"NA"|"081"|1|"0"|1|0|12650
14|23258|142|14|"NA"|"081"|1|"0"|1|0|975
14|5696|919|14|"650-660"|"059"|1|"0"|1|0|21907.6
14|98814|919|14|"650-660"|"032"|2|"0"|1|0|31496.5
14|98814|919|14|"650-660"|"040"|2|"0"|1|0|16990
14|4024|919|14|"650-660"|"032"|2|"0"|1|0|54893.9
14|4024|919|14|"650-660"|"087"|2|"0"|0|0|13440
14|4024|919|14|"650-660"|"017"|2|"0"|1|0|33878
14|4024|919|14|"650-660"|"052"|2|"0"|1|0|34170
14|4024|919|14|"650-660"|"059"|2|"0"|1|0|13731.2
14|4024|919|14|"650-660"|"081"|2|"0"|1|0|42580
14|73332|919|3|"650-660"|"032"|2|"0"|1|0|3599.6
14|48410|919|14|"650-660"|"068"|1|"0"|0|0|7760
14|48410|919|14|"650-660"|"059"|1|"0"|1|0|2380
14|39664|919|14|"650-660"|"068"|1|"0"|0|0|7040
14|39664|919|14|"650-660"|"059"|1|"0"|1|0|1940
14|39664|919|14|"650-660"|"059"|2|"0"|1|0|3165
14|41325|919|14|"650-660"|"068"|1|"0"|0|0|8330
14|41325|919|14|"650-660"|"017"|1|"0"|1|0|4769
14|41325|919|14|"650-660"|"059"|1|"0"|1|0|4540
14|3010|919|14|"650-660"|"068"|1|"0"|0|0|7750
14|3010|919|14|"650-660"|"059"|1|"0"|1|0|7100
14|50946|919|14|"650-660"|"068"|1|"0"|0|0|15650
14|50946|919|14|"650-660"|"059"|1|"0"|1|0|2880
14|38795|464|14|"650-660"|"040"|2|"0"|1|0|28
14|43705|464|14|"650-660"|"017"|2|"0"|1|0|8280
14|93182|464|14|"650-660"|"040"|2|"0"|1|0|5.6
14|97677|464|14|"650-660"|"087"|1|"0"|0|0|2360
14|24404|464|14|"650-660"|"032"|2|"0"|1|0|9363.6
14|70378|464|14|"650-660"|"009"|2|"0"|0|0|980
14|1592|464|3|"650-660"|"032"|2|"0"|1|0|1907.4
14|20943|464|3|"650-660"|"032"|2|"0"|1|0|1040.4
14|10999|464|3|"650-660"|"032"|2|"0"|1|0|346.8
14|23983|464|3|"650-660"|"032"|2|"0"|1|0|520.2
14|71061|464|3|"650-660"|"032"|2|"0"|1|0|1213.8
14|39360|464|3|"650-660"|"032"|2|"0"|1|0|1734
14|86582|464|14|"650-660"|"017"|1|"0"|1|0|90640
14|86582|464|14|"650-660"|"059"|1|"0"|1|0|14324.2
14|83472|464|14|"650-660"|"017"|1|"0"|1|0|38930
14|83472|464|14|"650-660"|"059"|1|"0"|1|0|80920
14|77984|464|14|"650-660"|"017"|2|"0"|1|0|3127.2
14|77984|464|14|"650-660"|"059"|2|"0"|1|0|1471.2
14|13054|464|14|"650-660"|"017"|2|"0"|1|0|6254.4
14|13054|464|14|"650-660"|"059"|2|"0"|1|0|4658.8
14|13802|464|3|"650-660"|"032"|2|"0"|1|0|173.4
14|1142|464|14|"650-660"|"059"|1|"0"|1|0|2106.5
14|16692|464|14|"650-660"|"017"|2|"0"|1|0|2606
14|16692|464|14|"650-660"|"059"|2|"0"|1|0|1471.2
14|78846|464|14|"650-660"|"017"|2|"0"|1|0|3127.2
14|78846|464|14|"650-660"|"059"|2|"0"|1|0|1716.4
14|59317|464|14|"650-660"|"017"|2|"0"|1|0|3127.2
